rule_id,dimension,phenotype_kind,symptom_signal,root_cause,detection_heuristic,negative_impact,refactor_action,constraints,acceptance_criteria,priority,effort,components_affected,tokens_refs,notes
UIUX-011,Forms,AI_typisk,Labels/hjælpetekst svage; validation enten mangler eller er kosmetisk,Tilstandsdesign er sværere end visuel styling,Test invalid input; tjek om fejl kun er farve,Fejlrate; lav forståelse; compliance-risiko,"Indfør inline-fejl (tekst + aria-describedby), felt-hjælp hvor relevant, og tydelig disabled/loading på submit",Ingen ændring af valideringsregler; kun præsentation/tilgængelighed,Alle fejl har tekstlig forklaring; fokus flyttes til første fejl; skærmlæser får fejlbesked,P0,M,"Input, Select, Form wrappers","forms, a11y, copy",
UIUX-012,Navigation,AI_typisk,Standard topnav/sidebarskabelon uden domænespecifik labels,Genkendelige defaults foretrækkes,"UI: generiske menupunkter som 'Features', 'Docs', 'Pricing'",Lav domæneklarhed; lav informationsduelighed,Omskriv labels til domænesprog; tilføj korte beskrivelser via tooltip/aria-label hvis nødvendigt,Ingen linkændringer; kun tekst,Navigationens labels afspejler faktisk indhold og brugeropgaver,P1,S,"Nav, Sidebar",copy,
UIUX-013,Iconography,AI_typisk,Line-icons overalt uden semantisk differentiering,Icon libs er lette at bruge; original ikonografi kræver intention,Tjek ens ikonstil/størrelse; UI: ikon+label på alle cards,Støj; lav signalværdi,Reducer ikonbrug; behold kun hvor det øger scanning. Harmoniser størrelse/vægt; brug 1–2 ikonstile konsekvent,Ingen ændring af betydning,Ikoner bruges sparsomt og konsekvent; ingen 'dekoration',P2,S,"Feature cards, Buttons",icons,
UIUX-014,Visual,AI_typisk,Overdreven radius (alt er super-rundt),Default 'friendly' signal,UI: alle elementer har samme store radius,Legetøjsæstetik; lav seriøsitet,"Indfør radius-hierarki: små radii til inputs, medium til cards, store kun til hero-bokse hvis nødvendigt",Kun tokens/klasser,Radius varierer efter rolle; helhedsindtryk mere professionelt,P1,S,"Buttons, Inputs, Cards",radius,
UIUX-015,Visual,AI_typisk,For stærke skygger/”soft shadow everywhere”,Skygger signalerer dybde 'gratis',UI: shadow-sm/md på næsten alt,Mudret hierarki; lav skarphed,Etabler skyggehierarki; brug borders/dividers i stedet for skygger i mange tilfælde,Kun tokens/klasser,Skygger bruges primært til flydende lag (menus/modals) og primære kort; øvrigt har dividers,P1,S,"Cards, Popovers, Modals","shadows, borders",
UIUX-016,Performance,AI_typisk,Store baggrundsblurs og overlays der koster repaint,Visuel pynt uden performance-afvejning,Find blur/backdrop-filter; test i DevTools performance,Sløvhed; battery drain,Reducer blur; erstat med flade farver og lette gradients kun hvor nødvendigt,Ingen featureændring,Backdrops er minimale; LCP/CLS forbedres eller forværres ikke,P1,M,"Background, Modals","performance, effects",
UIUX-017,Consistency,AI_typisk,For mange forskellige button-varianter uden system,Fragmenteret generering giver variant-eksplosion,Scan for Button className varianter,Uforudsigelighed; lav lærbarhed,Definér 3–4 button-varianter (primary/secondary/ghost/destructive) og refaktorér til dem,Ingen adfærdsændring,Alle buttons matcher variants; hover/disabled/loading konsistent,P0,M,Button,variants,
UIUX-018,Copy,AI_typisk,FAQ/Testimonials som standard uden evidens,Skabelon-sektioner indsættes automatisk,"UI: generiske spørgsmål/svar, generiske testimonials",Tillidsbrud; føles falsk,Bevar sektionerne men gør dem konkrete: FAQ som reelle barrierer; testimonials som cases eller fjern al 'person'-tone og gør det til resultater/konkrete udsagn,Ingen strukturændring; kun tekst,Ingen fiktive citater; alt er konkret og domæneforankret,P1,S,"FAQ, Testimonials","copy, trust",
UIUX-019,IA,AI_typisk,Måle- og statusfliser uden forklaring (”stats tiles”),Dashboard-skabeloner,UI: tal uden kontekst,Misforståelse; forkert beslutning,"Tilføj korte labels, enheder, og micro-explanations; tooltips hvor nødvendigt",Ingen ny data; kun præsentation,Alle tal har enhed og forklaring; ingen 'mystery metrics',P0,S,Stats cards,copy,
UIUX-020,Accessibility,AI_typisk,Kontrast og fokus-indikatorer inkonsistente,Visuel styling prioriteres over a11y uden eksplicit krav,Kør kontrast-check; test keyboard navigation,Utilgængelighed; compliance-risiko,"Indfør konsekvent focus ring, hover/focus states, og kontrast-sikre tokens",Ingen DOM-ændring udover aria hvor nødvendigt,Tastaturnavigation fungerer overalt; fokus er synligt; tekstkontrast opfylder minimumskrav,P0,M,"Buttons, Inputs, Links","a11y, colors",
UIUX-021,States,AI_mangler,Gennemgående state-model (tom/indlæser/fejl/ingen rettigheder),Happy-path fokus og manglende driftstænkning,"Simulér: tom data, 401/403, netværksfejl, timeout",Brudte flows og 'blanke' visninger,Tilføj tydelige states for alle views; reuse eksisterende layout; tilføj retry hvor allerede muligt,Ingen nye endpoints; ingen nye flows,Ingen side viser tomt uden forklaring; fejl har handling; permissions kommunikeres klart,P0,L,All data views,"states, copy",
UIUX-022,Accessibility,AI_mangler,"Robust ARIA/fokuslogik for modals, dropdowns og tabs",Komplekse a11y-krav håndteres ofte utilstrækkeligt i LLM-kode,"Test: fokus trap i modal, escape, aria-labelledby/controls; screen reader",Interaktion er utilgængelig for keyboard/skærmlæser,Ret a11y-kontrakter i eksisterende komponenter (brug komponentbibliotekets anbefalede patterns),"Ingen ny komponentstruktur, men tillad små wrapper-justeringer hvis nødvendigt for fokus",Modal trapper fokus korrekt; tabs har korrekte aria-roller; dropdowns annonceres korrekt,P0,M,"Dialog, DropdownMenu, Tabs",a11y,Citerbar baggrund: LLM’er rammer ofte bedre på simple a11y-fixes end komplekse ARIA-krav.
UIUX-023,Copy,AI_mangler,"Situationsbestemt mikrocopy ved risikohandlinger (slet, overskriv, send)",Domæne- og konsekvensanalyse mangler,Find destructive actions; se om copy er generisk,Brugerfejl; lav tillid,Omskriv til konsekvens + reversibilitet; tilføj sekundær tekst i dialoger,Ingen ny funktion; kun tekst,Alle risikohandlinger har præcis forklaring; destructive buttons har entydige labels,P0,S,Destructive dialogs,"copy, trust",
UIUX-024,IA,AI_mangler,"Begrundet informationsprioritering per side (hvad er primært, hvorfor)",Mangler brugeropgave-model,Heuristik: kan man nævne 'det vigtigste' på siden på 5 sekunder?,Høj kognitiv belastning,"Forstærk primære elementer via størrelse, kontrast, spacing; dæmp sekundære elementer",Ingen flytning af sektioner,En observatør kan identificere primær handling/indhold hurtigt; visuel scanning forbedres,P0,M,All pages,hierarchy,
UIUX-025,Consistency,AI_mangler,Design tokens og variants som en samlet kontrakt,Ad hoc styling i komponenter,Find hardcoded colors/radii/shadows i className,Drift og ændringer bliver dyre,Centralisér tokens i CSS variables/Tailwind theme; refaktorér komponenter til at bruge variants,Ingen visuel regression; kun systematisering,Færre hardcoded values; tokens er eneste kilde til sandhed; UI er konsistent,P0,L,"Theme, all components",tokens,
UIUX-026,Trust,AI_mangler,Transparens i systemets begrænsninger og datagrundlag (hvis relevant),LLM-copy overlover ofte,Find steder med 'garantier' eller uklare løfter,Tillidsbrud; misforståelse,Omskriv til præcise udsagn; tilføj korte forklaringer hvor der er usikkerhed eller afhængigheder,Ingen nye features,Ingen overpromises; bruger forstår præmis og begrænsning,P1,S,"Help text, banners","copy, trust",
UIUX-027,Mobile,AI_mangler,"Mobile-first justering (tap targets, spacing, densitet)",Desktop-first defaults,Test på 360px bredde; check tap target størrelse,Lav brugbarhed på mobil,"Justér spacing, font size, og komponentdensitet på små breakpoints uden at ændre struktur",Ingen nye layouts; kun responsive klasser,Tap targets >= ca. 44px; ingen horisontal scroll; tekst er læselig,P0,M,"Nav, Forms, Cards",responsive,
UIUX-028,Forms,AI_mangler,Fejl- og hjælpetekst koblet til felter (aria-describedby),A11y-detaljer overses ofte,Skærmlæsertest; DOM-inspektion,Utilgængelige fejl; dårlig forståelse,"Tilføj id’er og aria-describedby, og gør fejltekster stabile og lokale",Ingen valideringsændring,Skærmlæser annoncerer fejl korrekt; fokus går til fejl; bruger kan rette uden gætteri,P0,M,Forms,"a11y, forms",
UIUX-029,Visual,AI_mangler,Kontrolleret asymmetri og 'editorial' rytme,Symmetri vælges som default,UI: alt står i lige store kolonner og lige store cards,For meget 'template',"Indfør variation i sektion-rytmik (typografisk vægt, whitespace, dividers) uden at flytte sektioner",Bevar struktur,Siden føles mindre skabelonagtig; stadig konsistent og rolig,P2,M,Landing sections,"layout, typography",
UIUX-030,Performance,AI_mangler,Performance-budget for visuelle effekter,Effekter tilføjes uden måling,"Audit: LCP/CLS, bundle størrelse, animation repaint",Sløvhed; dårlig UX,"Fjern tunge effekter, lazy-load hvor allerede muligt, og undgå unødige re-renders pga. animation",Ingen arkitekturændring; kun sikre optimeringer,LCP/CLS forværres ikke; scroll er glat; bundle stiger ikke unødigt,P1,M,"Animations, background effects",performance,
UIUX-031,Visual,AI_typisk,For mange badges/chips/pills til kategorisering uden behov,Overdekoration fra komponentbiblioteker,Find Badge/Chip overforbrug; UI: mange små labels,Støj; lav skanbarhed,"Reducer til få, meningsbærende badges; brug typografi/dividers i stedet",Kun styling og fjernelse af dekorative badges hvor indhold stadig kan vises uden dem,Badges findes kun hvor de bærer status eller filter; ingen pynt-badges,P2,S,"Badge, Filters","chips, badges",
UIUX-032,IA,AI_typisk,"Sektionoverskrifter er generiske (”Features”, ”Benefits”)",Skabelon-copy,Scan headings,Lav domæneforankring,Omskriv overskrifter til domæneopgaver og beslutningsspørgsmål,Kun tekst,Ingen generiske overskrifter; alle overskrifter beskriver konkret indhold,P0,S,Headings,copy,
UIUX-033,States,AI_typisk,Skeletons er generiske og matcher ikke layout,Kopiindsættelse af skeleton-komponenter,Test loading states,Visuel jitter; lav troværdighed,Match skeleton til faktisk layout og typografi; stabil højdefastlåsning hvor relevant,Ingen ændring af dataflow,Loading state føles stabil og realistisk; ingen layout shift,P1,S,Skeletons,"states, layout",
UIUX-034,Consistency,AI_typisk,"Link-styling inkonsistent (nogle er knapper, nogle er underlined, nogle er bare farve)",Fragmenteret styling,Audit links på tværs af sider,Lærbarhed falder,Definér link-styles og anvend konsekvent; tydelig hover/focus,Kun styling,Alle links følger samme semantik og styling; focus er synlig,P0,S,Links,"a11y, typography",
UIUX-035,Accessibility,AI_mangler,Skip-link og korrekt læserækkefølge,A11y-detalje overses,Keyboard test: tab fra top,Langsom navigation,Tilføj skip-to-content link og sikr heading-order (H1->H2...) uden at flytte indhold,"Ingen strukturændring, kun headings og skip-link",Skip-link virker; heading-hierarki er korrekt,P1,M,"Layout, headings","a11y, semantics",
UIUX-036,Visual,AI_typisk,Overbrug af divider-lines (hårde grå linjer) uden rytme,Forsøg på struktur via linjer i stedet for typografi,UI-inspektion; for mange separators,Clutter; lav elegance,"Standardisér divider-strategi (tynd, lav kontrast) og brug whitespace som primært strukturværktøj",Kun styling,Dividers er konsistente og sjældne; whitespace bærer strukturen,P2,S,Separators,"borders, spacing",
UIUX-037,Copy,AI_mangler,Fejlmeddelelser uden næste skridt (”Noget gik galt”),Generic error copy,Trigger errors,Bruger fastlåses,Omskriv fejltekster til: årsag (hvis kendt) + handling (prøv igen/ændr input/kontakt),Ingen nye actions ud over eksisterende,Fejltekst er actionable; ingen generiske fejl uden handling,P0,S,"Error toasts, inline errors","copy, states",
UIUX-038,IA,AI_mangler,Progressive disclosure: for meget vises på én gang,Alt præsenteres symmetrisk og samtidigt,UI: lange sider med mange parallelle blokke,Kognitiv belastning,"Brug typografisk foldning (underoverskrifter, kort hjælpetekst) og accordions kun hvor information er sekundær og allerede findes; undgå 'accordion til alt'",Ingen strukturændring af sektioner; kun præsentation inde i sektionerne,Siden er skanbar; sekundær info er dæmpet men tilgængelig,P1,M,Content sections,"hierarchy, typography",
UIUX-039,Visual,AI_typisk,“Bento grid” uden semantisk grouping,Trend-efterligning,UI: mosaik af tiles der ikke matcher opgaver,Forvirring,"Bevar tiles, men giv dem semantisk grouping via overskrifter og ensartede højder; reducer variation i tile-størrelser",Ingen omrokering,Tiles kan forstås som grupper; tile-størrelser er begrundet,P2,M,Bento grids,layout,
UIUX-040,Forms,AI_typisk,Placeholder bruges som label,UI-skabeloner og hurtig formbygning,Check inputs,Tilgængelighedsproblem; brugeren mister kontekst,Indfør synlige labels; placeholder bruges kun som eksempel,Ingen ændring af formfelter; kun markup og tekst,Alle felter har label; placeholder er optional og ikke kritisk,P0,S,Forms,"a11y, forms",
