Sygdom 	Tyngde 	Emne 	Definition 	Forekomst 	Patogenese 	Ætiologi 	Symptomer og fund 	Diagnostik 	Følgetilstande 	Behandling 	Forebyggelse 	Prognose	prioritet
Multipel sklerose		Neurologiske sygdomme	Klinisk diagnose, hvor plaque findes i CNS. Der kan altså findes plaque i lillehjerne, storehjerne, rygmarv og hjernestamme. Kronisk sygdom med anflasvise atakker af lokaliserede symptomer. 	Sygdommen debuterer mellem 20-50 års alderen og der ses ca. 3000 nye tilfælde årligt. Sygdommen er hyppigere hos kvinder [2:1] og forekommer 20-40 gange hyppigere hos førstegangsslægtninge. Icidensen er høj i tempererede områder og lav i tropiske klimaer, årsagen kendes ikke. 	Ved aktivering af T-celler (ukendt årsag), dannes der cytokiner som forårsager inflammation og destruktion af myelinskeder. 	Årsagen til sygdommen er ukendt, men studier viser at det kan være genetisk. 	Symptomerne udvikles typisk over én eller flere dage, men kan debutere akut. Starter hos 80% af patienterne som attakvis MS, derfor fejltolkes de første symptomer oftest. Typiske symptomer er unormal følefornemmelser og -forstyrrelser, kraftnedsættelse, synsnervebetændelse, koordinationsproblemer, vandladningsforstyrrelser, dobbeltsyn, kognitive fortyrrelser.  	Da der ikke findes nogen enkel test for MS må der udelukkes alle andre sygdomme, der kunne forårsage de inflammatoriske læsioner plaques. Hjebeb ig rygmarven MR-scannes for at påvise plaques. Lumbalpunktur foretages for at påvise antistoffer i CNS. 		Der findes ingen kurativ behandling, men immunmodullerende behandling kan forsinke og reduceres attakfrekvensen. Varigheden af attak kan mindskes ved kortvarig steroidbehandling, men hjælper ikke på længere sigt. Andre medicinske lidelser såsom spasticitet, urinvejssymptomer, smerter og depressioner behandles medicinsk. Heruder psykologisk behandling. 	Identifikation af sygdommen i et tidligt stadig mindsker hyppigheden af attaks og progressionen. 	Efter 10 år vil 25% have lette symptomer og være fuldt arbejdsdygtigt. 50% vil have svlre symptomer, men stadig være selvhjulpne. De sidste 25% vil være svært invaliderede eller døde. Livstiden afkortes ca. 10 år. 	Mellem
Neuromuskulære sygdomme 		Neurologiske sygdomme	Bred betegnelse, der dækker over mange forskellige sygdomme, der rammer perifære nerver eller de muskler de forsyner. 	Det vurderes, at der ca. er 100.000 i DK, men det er usikkert da flere aldrig diagnostiseres. Hyppigheden stiger med alderen. 	Der sker funktionsforstyrrelse på de perifere nerver og/eller muskler. Nerveceller går til grunde(aksonal skade), eller schwannske celler går til grunde(demyeliniserende).   	Sjældent tale om arv.  Mange faktorer, f.eks vitaminmangel, alkoholisme, diabetes, tungmetaller, visse infektionssygdomme o.a.	Omfatter bl.a. snurrende fornemmelser, nedsat følesans, smerte, kraftnedsættelse, rysten, muskelatrofi og svækkede reflekser svarende til de afficerede nerver. 	Det er afgørende med en detaljeret sygehistorie og objektiv undersøgelse. EMG gør det muligt at skelne mellem aksonal og demyeliniserende neuropati. Blodprøve for at måle muskelenzymer. MR og ultralyd kan bruges til at se nerver . 	Den påvirkede sensoriske funktion kan give anledning til øget risiko for læsioner, f.eks. Diabetisk fodsår, hvor der kan komme et stort pbent sår uden at de mærker det. Derudover giver nedsat muskelfunktion øget risiko for mangelfuld vejrtrækning, tryksår og andre inaktivitetssygdomme. 	Mononeuropatier kan ofte behandles kirurigsk. Ved de andre neuropatier er behandlingen sjældent kurativ, men rettet mod bedring af hverdagen. Neuropatiske smerter kan med god effekt behandles med antideprissiva og antiepilepsi. Rehabilitering iform af fysioterapi og ergoterapi. 	Patienten bør undgå relevante udløsende faktorer: alkohol, en livsstil der fører til diabetes o.a. men øvrige tilstande er ikke mulige at forebygge. 	Ofte er sygdommen langsomt fremskridende og kan ikke kureres. ALS er forbundet med få års restlevetid. Diabetisk polyneuropati er forbundet med øget dødelighed, hvis autonome nerver er involveret. 	Mellem
Skizofreni 		Psykiske sygdomme 	Skizofreni er et spaltningssyndrom, hvor fundamentale og karakteristiske forstyrrelser af tænkning og virkelighedsopfattelse. 	Det anslås, at der i 2015 var 43.000 patienter med diagnosen, hvoraf kun 15.000 var i behandling. Der er en incidens på 3500 nye tilfælde pr. år. 	Ændringer i hjernens struktur, i receptorer og i signalstoffer har betydning. Det er påvist vha. MR, at der er tabt af grå substans, men det er dog ikke helt klarlagt om det er alle det gælder for. 	Forskning viser, at der er tale om neuroudviklingsforstyrrelser, der opstår i samspil af miljø og arv. Der ses enkelte genetiske overlap, hvilket iokke kan forklare alle tilfælde, men det vides, at miljøfaktorer som hashrygning i ung alder, lav fødselsvægt, underernæring hos moderen under graviditet, iltmangel og traumatiske livsbegivenheder kan øge risikoen. 	En patient vil typisk have brogede symptomer, der peger i mange retninger inden for sindslidelser. Typiske symptomer er tankepåvirkningsoplevelser, styringoplevelser (påførte handlinger), trejdepersons hørehallucinationer, vrangsansning og generelt manglende "common sense". 	Der er stor forskel i, hvorledes symptomerne er tydelige, om patienten søger læge eller om de er så akutte, at der kræves straks behandling - derfor kan det være meget svært at diagnosticere. Hvis skizofreni mistænkes gennemføres et grundigt udredningsprogram for at bekræfte diagnosen. Diagnosen stilles ud fra kriterierne i ICD-10. 	Statistisk set har personer med skizofreni er betyderlig forkortet levetid (15-20 år). Dette skyldes de mange symptomer, der bidrager til en usund livsstil, der giver anledning til andre følgesygdomme såsom hjertekar eller diabetes. 	Behandlingen omfatter psykofarmakologisk behandling, psykoterapi, psykoedukation og sociale støtteforanstaltninger. 	Der er indført tidlig opsporing og intervention af OPUS-team, der bl.a afkorter den psykotiske fase og minsker funktionstab og social isolation. Derudover frarådes det at ryge hash i alderen 12-15 år. 	20% kommer slet ikke i kontakt med hospitalet. 20% af dem i behandling remitterer (kommer sig), 30% har symptomer, men bevarer et acceptabelt funktionsniveau, 30% har episodiske forløb med indlæggelser og 20% er kronisk psykotiske. Der er 50 gange højere risiko for at tage sit eget liv,  hvis man har diagnosen. 	Høj
Affektiv sygdom 		Psykiske sygdomme 	Samlet betgnelse for psykiske lidelser, hvor stemningslejet er påvirket. Unipolar depression (udelukkende depressioner), den maniske enkeltepisode (solitær) og den bipolare affektive lidelse (minimum to affektive episoder, hvoraf mindst en skal være hypomani, mani eller blandingstilstand). 	0.5-1.5% årligt (ca. 50.000), en prævalens på ca. 2-5% (150.000) af befolkningen. Ratio [1:1].	Der tale om bidrag og samspil fra flere mekanismer. Sværere stressende livsbegivenheder kan udløse affektiv sygdom. Især noradrenalin og serotonin er involveret i den depressive tilstand.  Patogenesen for mani involverer mange sekundære processer i det neuronale netværk og øget excitabilitet af neuroner. Mangel på primært dopamin. 	Samspil mellem arv og miljø, der interagerer med de biokemiske forhold. Primært Høj arvelighed. Er man enægget tvilling det er der 70 % chance for den anden også har det. Miljø påvirker også. Misbrug har velkendte og udtalte psykoaktive effekter, som påvirker nogle af de samme hjerneområder, der er involveret i affektive sygdomme. 	Ved depression ser man typisk forsænket stemningsleje. Humøret er typisk værst om morgenen og bedre i løbet af dagen. Der kan være angst i mere eller mindre grad, udtalt træthed, men samtidig også søvnproblemer og tidlig opvågning. Appetitløshed, "alt smager som pap", Patienter bliver generelt passive, inaktive, langsommere og får hukommelses- og koncentrationsbesvær. Fle patienter oplever at de er følelsestomme og selvbebrejdende. Manien kan forekomme som enkeltepisode, men det er dog mest almindelig med en efterfulgt depression. Generelt er der tale om markangt løftet stemningsleje som unaturlig glæde eller ophidselse, øget energi, sætte gang i en masse projekter, svært ved at holde fokus, uhæmmet adfærd, øget selvfølelse der kan udvikle sig til megalomane forestillinger. Øget sexlyst, stort pengeforbrug og nedsat søvnbehov. I blandingstilstanden opfylder man både kriterierne for mani og depression. 	I dagnostikken er samtalen og iCD-10 kriterierne afgørende for at dianogsen kan stilles. Det er ikke ualmindeligt, at patienten tror, at de fejler noget helt andet. 	30-50% af fuldt remitterede patienter har lettere kognitive gener ift. Koncentrationsbesvær og opmærksomhed. Tilstedeværelsen af de kognitive problemer øger risikoen for endnu en episode. 	Behandlingen er effektiv og langt de fleste opnår remission, men det rkæver også at patienterne henvender sig, hvillket mange ikke gør. Samtalebehandling og medicinsk behandling. Der give antidepressiva mod depression. Litium mod mani (stemningsstabiliserende). Antipsykotika, der virker hurtigt. ECT-behandling kan både anvendes til depression og mani. Det er en omdiskuteret behnadlingsform, men virker op imod 80-90%. Behandling deler formentlig flere virkningsmekanismer som den medicinske behandling og medfører biokemiske og strukturelle forandringer via øgning af aminudbuddet i synapsespalten.  Psykoedukation er også et vigtigt middel i at forstå sin egen sygdom og lve bedst muligt med denne lidelse. 	Som forebyggelse er det primært vigtigt, at patienten har redskaber til at håndtere sin egen lidelse, stresshåndtering og begrænse stimuli. Den medicinske behandling virker også profylaktisk, men da mange patienter stopper på medicinen på egenhånd sker der alt for ofte rediciv i sygdom. Undersøgelser viser også, at personer der dyrker reglemæssig motion har lavere risiko for nye sygdomsepisoder. 	Mere end 85% af patienter der har været indlagt vil opleve tilbagefald, og 65% vil opleve tre eller flere episoder, 50% genindlægges i DK, hvoraf 20% bliver kroniske depressioner. 5-15% begår selvmord. 	Høj
Anxiøse tilstande (angst)		Psykiske sygdomme 	Angst kan inddeles i tre: fobisk angst, panikangst og generaliseret angst. Fælles for lidelserne er, at patienterne i varierende grad udviser autonome og andre angstsymptomer. 	Balndt de hyppigste pskyiske tilstande. Årligt ramme ca. 150.000 med angsttilstande. 	Aktivering af det limbiske system, herunder hjernens følelseslap, hvilket sker via hypothalamus. Kroppens alarmberedskab alarmeres og medfører, at personen kan handle hurtigt og flygte fra faren. 	Sygdomsmodellen "sårbarhed-stress-modellen" anvendes til at forklare samspillet mellem de disponerede (genetisk, socialt) og udløsende faktorer. F.eks. Kan omsorgsvsigt, psykologiske belastning eller andet være disponerede, hvor den udløsende faktor kan være mange mennesker, trusle eller skilsmisse. 	Hjertebanken, sveden, rysten, mundtørhed, vejrtrækningsbesvær, kvælningsfornemmelse, trykken for brystet, kvalme og uro i maven, svimmelhed, frygt. 	Diagnose foregår ved interview, hvor angstsymptomer, kropslige symptomer og forekomsten af evt. andre psykiske symptomer samles. Diagnose baseret ud fra ICD-10. 	Hyppigt ses personer med angst også med andre psykiske lidelser. Angst øger risikoen for social isolation, lavt selvværd, melvmedicinering med alkohol og stoffer og risiko for selvmord. 	Benhandles medicinsk og med psykologiske behandlingsformer som eksponeringsterapi og kognitiv adfærdsterapi. Medicin kan være antidepressiva og beroligende. 	Reduktion i krav til sig selv vil mindske angsten for den enkelte person. 	Angst har et varierende forløb og tendens til at blive kronisk. 	Høj
OCD (tvangstanker og handlinger)		Psykiske sygdomme 	OCD er tilbagevendende tvangstanker og handlinger. 	For 50.000 danskere er der udtalte symptomer, der gør det svært at opretholde en normal hverdag. Små tvangshandlinger o.a. er hyppige. Debuterer typisk i 20-års alderen. 	Hjernens kontrolfunktion styrer menneskets kognitive processer, sociale funktioner og personlighed. Dysregulering af dette kredsløb medfører påtrængende tanker om fare eller indre trang til at tjekke, om observationerne var rigtige. Ved billededannelse hos personer med OCD er der vist overaktivitet i kortiko-striate-thalamisk-kortikale kredsløb. 	Årsagen er ikke fuldstændig beskrevet, men der er en vis genetisk disposition. 	Lidelsen har to symptomer obsessionerne og kompilsionerne. Obsessioner indebærer typisk renlighed, angst for lukkede rum eller frygt for at sige noget upassende. Kompulsionerne er at tjekke handlinger f.eks. Tjekke om huset er låst, tjekke om komfuret er slukket. I perioder med belastning vil OCD'en forværres og dagen vil være beslaglagt at endeløse ritualer. OCD kommer indefra, alstå ikke påførte tanker. 	Diagnose stilles ved samtale og et mønster fremlægges. Patienterne vil oftest være ordnede og normal fremtræden. 	Tilstanden følges ofte af depression. 	Psykologisk og medikmentel behandling. Typisk kognitiv adfærdsterapi, hvor patienten bringes i situationer, der fremkalder handlinger, men ikke lade dem dominere. Medicinsk gives antidepressiva, hvor kombinationen af de to behandlingsformer giver den mest stabile behandling. 	Rettidig diagnosticering. 	Mange lever med diagnosen ,en en andel opnår helbredelse, hvis det opdages i ordentlig tid. 	Høj
PTSD 		Psykiske sygdomme 	Forsinket psykisk reaktion, der kommer inden for 6 måneder efter et alvorligt psykotraume. 	Prævalensen af PTSD er højere i områder med krig og voldsomme naturkatastrofer. I DK lider ca. 50.000 af PTSD med en hyppigheden af kvinder [2:1]. For mænd er det især hjemsendte soldater og for kvinder er det især dem der har været udsat for vold i hjemmet eller voldtægt. 	Lidelsen er forbundet med hyperaktivitet i det autonome nervesystem og dysregulering af hypofyse-hypothalamus-binyre-aksen. Ved PSTD kan findes en reduktion af hippocampus-volumen. 	PTSD kræver, at man er blevet udsat for en yderst traumatisk begivenhed, der skal være af en vis katastrofeagtig grad. Særligt krigshandlinger og seksuelle overgreb er i høj risiko. Præsdisponerede for udvikling er folk med misbrug, ængstelige eller legemlig svækkelse. 	Symptomer kan være mareridt, flashbacks, stærkt ubehage ved udsættelse for visse ting, undgåelse af alt, der minder om traumet, alarmberedskab eller psykisk overfølsomhed og koncentrationsbesvær. 	Anamnesen gennemgåes og diagnosen fastlægges gennem interview. 	Angst og depression er ofte forbundet med PTSD. Hos 1/5 del af patienterne kan det vise sig som et krnoisk forløb over mange år, hvilket kan føre til en personnlighedsændring. 	Der findes ikke en direkte behandling, men antideprissiva har vist effekt. Kognitiv adfærdsterapi kan mindske de adfærdsmæssige og følelsesmæssige problemer. 	Forebyggelsen skal fokusere på at behandle patienten optimalt med henblik på at blive psykisk stabil. 	De fleste vil bedres over tid, med 1/5 er i kroniske forløb. 	Høj
Anoreksi 		Psykiske sygdomme 	Defineres ud fra ICD-10 kriterier, hvor alle kriterier skal være opfyldt. Det er en sygdom, hvor der er fokus på vægt, madindtagelse og forstyrret legemsopfattelse. 	Forekomsten er især høj blandt børn og unge (særligt piger) i alderen 12-19 år. Ca. 3.500 patienter. 	Det er hos anorektikere set vha billeddannelse, at der er morfologiske forandring, hvilket kan være pga. udtalt afmagring. Patienter vil også i højere grad have tendens til perfektionisme og rigide fortolkninger og handlemønstre. Ved uvikling af anoreksi sænkes udskillelsen af leptin, der påvirker hypothalamus og hypofysen, hvorved der sker fald i thyrorideahormon. 	Det vides at udefrakommende pres, opvækstforhold med kritiske forældre og høje forventninger har betydning. Arvelige forhold vurdere at have helt op til 85%. 	Fælles for patienterne er at de har en næsten psykotisk kropsopfattelse. De stræber efter at få kontrol og lægger afstand til al hjælp. De er meget optagede af mad: både egen og andres - især fedtholdige fødevarer. De er meget optagede af at forbrænde energi med overdreven motion. Det ses også, at de forsøger at skjule det ved at indtage ekstra væske, så egentlig vejer mere end de gør. Menstruationen ophører og kroppen lukker langsomt ned i mangel på ernæring. i ekstreme tilfælde ses dementlignende tilstande. 	Vægttab og abnorm kropopfattelse leder til mistanke om anoreksi. Psykiatrik interview og somatisk undersøgel (BMI, højde, vægt, blodtryk) og labratorieundersøgelser er nødvendige. 	Affektive lidelse vil forekomme hos 50-75% af patienterne. 4-6% vil udvikle bipolar affektiv lidelse. 1/3 af patienterne har komorbiditet iform af personlighedsforstyrrelser. 	Behandling foregår ved integrerede centre, hvor det er psykisk såvel som somatisk behandling. Ved stæk afmagring er sengeleje påkrævet, men ved stigende BMI er aktivitet tilladt. Familieterapi har vist sig at være den eneste effetive terapiform for anoreksi. 	Der bør rette sopmærksomhed på aktiviteter, hvor et lavt BMI er et must, f.eks. Modelarbejde, ballet, atletik… Generelt er skønhedsidealet blevet forvrænget. 	Det kan tage mange år før man er helbredt, da det er en svær psykisk lidelse. Efter mere end 10 år er ca. 73% raske. Der er dog en restgruppe på 15-25% som har et langvarigt forløb. Dødeligheden er høj blandt dem med lange sygdomsforløb. 	Høj
Bulimi 		Psykiske sygdomme 	Nervøs overspisning ses hyppigt efter anoreksi. En lidelse, hvor der overspises og derefter stikkes to fingre i halsen for at kaste op. 	Hyppigheden er ikke kendt, men almindeligst blandt yndre kvinder. Samlet set anslås der at være 21.000 der lider af bulimi. 	Bulimien kan optræde som en lidelse for sig, men se softe i forbindelses med anoreksi. Det begynder med vægtoptagethed, sultfølelse og anspændthed. Afdæmpning indtræder ved impulsiv overspining efterfuldt af skyldfølelse og opkastninger for at "rense" sig selv. 	Lidelsen har fælles træk med anoreksi, hvorfor det er sandsynligt, at der også er genetiske faktorer der spiller ind. 	Det ses, at patienten har hyppige spiseanfald efterfuldt af opkastninger. Patienter med bulimi er normalvægtige, men forsøger i høj grad at opnå en idealvægt på trods af overspisninger. Gentagne opkastninger medfører emaljeskade på tænder, derfor er det heller ikke sjældent at tandlægerne stiller diagnosen først. De mange opkastninger giver anledning til halsbrand og forstoppelse. 	Patienter med bulimi er mere tilbøjelige til at søge læge end folk med anoreksi. Interviewet stiller spørgsmål til hvor hyppigt der handles, hyppighed af overspidning og somatiske symptomer og tandstatus. 	Ligesom ved anoreksi er der stor risiko for affektive lidelser hos 50-75%. Derudover vil en del patienter udvikle alkoholmisbrug. 	Behandlingen der vises at være mest effektiv er samtaleterapi. SSRI-præperater viser også at have effekt hos 50% efter 8 uger. 	Ved behandling af anoreksi forsøges det i høj grad at helbrede fuldkommen, så bulimi undgås. Patienter med alkoholoverforbrug og bekendt med overspisning bør udspørges og sættes i tidlig behandling. 		Høj
ADHD		Psykiske sygdomme 	Neuropsykiatrisk lidelse med forstyrrelse af opmærksomhed og aktivitet. 	Forekommer hos omkring 33.000 danske børn og unge. Halvdelen vil stadig have lidelsen som voksne, dvs. ca. 15.000. Overvægt af drenge. 	Patienter med ADHD har nedsat evne til at transportere signalstofferne dopamin og noradrenalin mellem hjernecellerne og hjernecentre, hvilket medfører begrænset kommunikation. Nedsat aktivitet i frontallapperne vil nedsætte evnen til at skabe overblik og nedsat aktivitet i lillehjernen vil mindske evnen til at frasotere støj, hvilket gør at de er nemme at distrahere. 	Genetiske faktorer: der er 25% risiko for at et barn får ADHD, hvis en forældre har det. Og der er 90% risiko mellem enæggede tvillinger. Forhold for graviditet og under fødsel har også betydning, særligt neuroinfektioner, alkohol- og tobaksrygning og iltmangel under fødsel. Ustabilitet i hjemmet kan forværre prognosen. 	Kernesymptomerne er opmærksomhedsforstyrrelser, koncentrationsbesvær, hyperaktivitet og impulsivitet. Voksne med ADHD vil have vanskeligt ved at skabe overblik og har manglende tidsfornnemlse og glemmer aftaler. Ustabile følelsesmæssige medfører ofte sociale vanskeligheder. 	Symptomer skal have været til stede før 7 års alderen, derfor er det vigtigt at alt materiale indhentes. For at følge diagnosekriterierne må patienten ikke have en dyssocial adfærd. Diagnosen sættes typisk af et tværfagligt team. 	Højere forekomst af kriminalitet, misbrug og psykiske lidelser. Der er specielt større risiko for indlæggelser med depressioner og personlighedsforstyrrelser i det voksne liv. 	Der gives medicinsk behandling og psykoedukation. Kostomlægning har for nogle patienter effekt. Hvis komorbide tilstande opstår medicineres der for det. 	Det mest afgørende for at forebygge er at begrænse den gravides indtag af alkohol og tobak. Derudover har det vist at mildne symptomer, hvis der gives tidlig centralstimulerende behandling til børn. 	Halvdelen af patienterne vokser fra det. 	Høj
Personlighedsforstyrrelser		Psykiske sygdomme 	Evnen til at opleve sig selv som en sammenhængende og handlende person er forstyrret. Man har en følelse som ikke matcher omgivelsernes vurdering. Der er tre grupper af personlighedsforstyrrelser: excentrisk, dramatisk og ængstelig. 	10% af befolkningen opfylder de diagnostiske kriterier fra ICD-10. 	Kan forklares ud fra en biopsykosoical model, der sammenkobler genetiske faktorer med tidlige barndomsoplevelser. 	Personlighedsforstyrrelsen manifesteres i ungdomsårene og det tidlige voksne liv. For at udvikle en personlighedsforstyrrelse kræves en familiær eller miljømæssige påvirkning. 	Det centrale er patientes oplvelse af sig selv og andre. Det er vanskeligt, fordi patienten ikke selv ønsker at slippe af med sin opfattelse, og mener, at han/hun handler normalt. Forsøg på ændring af disse handlemænstre kan give anledning til angst, forvirring og modstand. Handlemønsteret forværrer personen egen situation. 	ICD-10 kriterierne skelner tydeligt mellem en normal og en forstyrret person, men det er en samlet vurdering af den enkelte patient, der afgør om diagnosen stilles eller ej. Da det hra været vanskeligt at putte folk under samme personlighedsforstyrrelse er den inddelt i 3. Der anvendes spørgeskeamer og interviews til at fastsætte. 	Depression, angst, selvskadende handlinger, selvmordsforsøg, misbrug, vold og socialt udfordret. Der foreligger en høj komorbiditet mellem personlighedsforstyrrelser og andre psykiske lidelser. 	psykotearpi er den primære behandling, derudover anvendes psykofarmakologisk behandling til at mindske søvnproblemer, angst og depression. Psykoterapien har til formål at fokusere på patientens ustabile følelsesliv, selvdestruktive impulser ogr relationer. 	På grun af de genetiske faktorer er det muligt at udpege familer, hvor der er højrisiko for at børnene også vil få en personlighedsforstyrrelse. En tidlig psykoterapeutisk intervention vil kunne hindre de skadelige konsekvener ved impulsforstyrrelse, såsom misbrug, sekundære psykiske sygdomme og kroniske sociale og familiære problemer. 	Der er en betydelig remissionrate på omkring 80% over en 10-årig periode. Visse personlighedstræk er mere stationære og formentlig forbundet med patientens temprement. Hvis patienten fastholder sin psykoterapi vil personen føler positiv feedback og selvforstærke egne kompetencer. 	Høj
Alkoholmisbrug 		Psykiske sygdomme 	Storforbrug af alkohol, skadeligt forbrug og afhængighed. 	Storforbrug defineres som mere end hhv. 14 og 21 genstande pr. uge for kvinder og mænd. 95% af den danske befolkning benytter alkohol i et eller andet omfang. Der er højere prævalens blandt folk med psykisk sygdom. 	Misbrug af alkohol anslås at være en kompliceret samspil mellem biologiske og miljømæssige forhold. Alkoholafhængighedssyndrom er en neurobiologisk tilstand, hvor den positivt forstærkende effekt på belløningssystemet hos disponerede folk får dem til at miste kontrollen og fortsætte indtaget. Når afhængighedssyndromet er udviklet, vil abstinenser medføre kontroltab. 	Ætiologien er multifaktoriel. En familieær ophobning ses hos førstegradsslægtninge til alkoholafhængige, hvor der er ca. 7 gange øget risiko for at udvikle et misbrug. Det er vanskeligt at adskille, miljømæssige, genetiske og biologiske faktorer. 	ICD-10 har specifikke psykiske påvirkninger og forstyrrelser som led i alkoholoverforbrug. Den akutte alkoholrus ses når stemningslejet er løftet og finmotorikken er væk. Storforbrug, skadeligt brug og afhængighedssyndrom udvikler sige efterhånden når der indtages alkohol i dagligdagen. Ved langvarigt storforbug udvikles der tilvænning i hjernen, hvilket medfører abstinenstilstande ved ophør eller nedsættelse af alkoholindtag. Amnetisk syndrom er forringet hukommelse, da alkohol har kemiske egenskaber som opløsningsmiddel (tiaminmangel). Wernickers syndrom er akut tiaminmangel, hvor der vil være symptomer som forvirring, gangforstyrrelser og lammelse af betsemt øjenmuskler. Enkelte udvikler hørelseshallucinationer, men det erkends ofte at det er imaginært, hvorefter de ofte drikker dem væk. Alkoholparanoia kan også forekomme, hvor vrangforestillinger og jalousiforrykt indhold. Patologisk rus er en tilstand, hvor blot en lille mængde alkohol medfører bevidsthedsvækkelse, personlighedsfremmed, ofte aggressiv adfærd. 	Overordnet følges ICD-10 kriterierne. Ellers omhyggelig klinisk observation og interview. Her inddrages familie også. Ofte mener personen ikke selv at have et problem. 	medfører sygelighed og op imod 8 gange øget dødelighed ift baggrundsbefolkningen. Langvarigt misbrug kan føre til skader på næsten alle organer. Demens, nervebetændelse, hjertesvigt, muskelsvind, øget infektionsrisiko, mavekatar og meget andet. 	Motivationssamtaler og livsstilsændringer vil have stor effekt ved storforbrug eller skadeligt brug. Det er vanskeligere med afhængighedssyndrom, her er målet ædruelighed og behandling af psykiske symptomer. Til motivation bruges antabus og kognitiv behandling. Antabus giver slemme bivirkninger ved indtagelse af alkohol. Selvhjælpsgrupper kan være effektive for nogle. Abstinenstilstanden skal behandles med beroligende medicin. 	Sundhedsstyrelsen oplyser befolkningen om hvor store sunhedsskadelige konsekvenser det kan hav. 	Alkoholisme er en potentielt dødelig sygdom med mange følgesygdomme. Ved storforbrug er der øget risiko for ulykker, legemsskader og selvmord. Personer med lav socioøkonomisk status har øget risiko for alkoholrelaterede sygdomme. 	Høj
Adipositas (svær overvægt) 		Endokrine sygdomme 	Svær overvægt, hvor en unormal stor del af kropsvægten udgøres af fedt. Kategoriseres adipositas når BMI er over 30.  	Ca 50% danskere har et BMI over 25 og ca 17%  har et BMI over 30. Ca. 1% lider af adipositas grad III med BMI over 40. BMI synes at toppe i 60-års alderen. 	 	Årsagerne til udvikling af adipositas er en kompleks kombination af genetiske, miljømæssige og psykiske faktorer. Den afgørende faktor må dog være miljømæssige faktorer, da det morderne samfund er præget af fysisk inaktivitet (biler, pc, tv) og tilbud på billig og energirig mad. Genetisk ses sjældne tilfælde, hvor der er mangel eller ophørt virkning af ét eller flere proteiner, der spiller en rolle i appetitreguleringen. Andre årsager nævnes ophør af tobaksrygning og indtagelse af visse psykofarmaka (antidepressiva, antipsykotika). Der er et tydeligt mønster med højere forkomst i lavere sociale grupper end højere. 	De fleste kvinder, der søger læge, er moderat overvægtige kvinder, der kæmper med kosmetiske og pyskosociale gener. Den typiske mand er med abdominal fedme og pga. symptomer for følgesygdomme, f.eks. Nyopstået type 2 diabetes, hjerte-kar-sygdom eller blandt unge kvinde der har problemer med at blive gravide. Der ses en tendens til at flere og flere henvender sig med henblik med fedmekirurgi, da mange har mindre selvværd og mindreværdsfølelse. Andre henvender sig med muskel- og ledsmerter, infektioner, svedtendens, tendens til svampeinfektion i huden, åndenød og seksuelle problemer. 	BMI anvendes til at stille graden af overvægt, herudover måles taljen som et cirkamål for den usunde fedtaflejring i bughulen. Grænseværdien for øget risiko er sat til >80 for kvinder og >94 for mænd. Kropsbygningen vurderes selvfølgelig, hvis det er en bodybuilder, der står foran en osv. Fedtmassen kan også måles ved impedans måling, hvor en lille strøm sendes gennem kroppen. Blodtryk undersøges og der tages en blodprøve for at se om pt har udviklet metabolisk syndrom eller andre følge sygdomme. 	Den øgede fedtmasse øger risikoen for både metaboliske og mekaniske problemer. F.eks. Øget inflammationstilstand, diabetes, hypertension, åreforkalkning, fedtlever, dysfunktion af organger, slidgigt, fertilitetsproblemer og cancer. Dermed er adipositas forbundet med øget dødelighed og øget sygelighed. 	Primær behandling er vægttab, hvilket kan opnås ved livsstilsændringer og fysisk aktivitet. Hvis det ikke har effekt kan kirugi komme på tale for personer med grad II og følgesygdomme, her er det overvejende gastric bypass og gastric sleeve, hvor mavens størrelse reduceres. De metaboliske komplikationer til fedmen behandles medicinsk. Adfærdsterapi vil også være gavnligt. Farmakologisk behandling har ikke bidraget til et behnadlingsmæssigt gennembrud, da de fleste produkter er blevet trukket tilbage pga. uacceptable bivirkninger. 	Fysisk aktiv livsstil, sund og varieret kost, en tur på vægten en gang imellem. Den forebyggende indsats bør især lægges ho børn, hvor der skal motiveres til mindre tid foran skærm og flere fritidsaktiviteter. 	Ikke specielt god, da den er forbundet med øget sygelighed og dødelighed. 85-90% af de svært overvægtige, der har oplevet et ikke-kirurigsk vægttab vil være tilbage til udgangsvægten efter 5 år. 	Høj
